書	章	節	簡體	我們	他們	和合本	裁決
出埃及記	29	40	面	麵	麪	麵	他們錯
出埃及記	30	4	抬	擡	抬	抬	我們錯
出埃及記	30	4	杠	杠	槓	槓	我們錯
出埃及記	30	5	杠	杠	槓	槓	我們錯
出埃及記	33	4	凶	兇	凶	凶	我們錯
出埃及記	35	6	朱	朱	硃	朱	他們錯
出埃及記	35	12	杠	杠	槓	槓	我們錯
出埃及記	35	13	杠	杠	槓	槓	我們錯
出埃及記	35	15	杠	杠	槓	槓	我們錯
出埃及記	35	16	杠	杠	槓	槓	我們錯
出埃及記	35	23	朱	朱	硃	朱	他們錯
出埃及記	35	25	朱	朱	硃	朱	他們錯
出埃及記	35	35	朱	朱	硃	朱	他們錯
出埃及記	36	8	捻	撚	捻	撚	他們錯
出埃及記	36	8	朱	朱	硃	朱	他們錯
出埃及記	36	11	扣	扣	釦	扣	他們錯
出埃及記	36	12	扣	扣	釦	扣	他們錯
出埃及記	36	17	扣	扣	釦	扣	他們錯
出埃及記	36	35	捻	撚	捻	撚	他們錯
出埃及記	36	35	朱	朱	硃	朱	他們錯
出埃及記	36	37	捻	撚	捻	撚	他們錯
出埃及記	36	37	朱	朱	硃	朱	他們錯
出埃及記	36	38	杆	桿	杆	杆	我們錯
出埃及記	37	4	杠	杠	槓	槓	我們錯
出埃及記	37	5	抬	擡	抬	抬	我們錯
出埃及記	37	5	杠	杠	槓	槓	我們錯
出埃及記	37	12	梁	梁	樑	樑	我們錯
出埃及記	37	14	抬	擡	抬	抬	我們錯
出埃及記	37	14	杠	杠	槓	槓	我們錯
出埃及記	37	14	梁	梁	樑	樑	我們錯
出埃及記	37	15	抬	擡	抬	抬	我們錯
出埃及記	37	15	杠	杠	槓	槓	我們錯
出埃及記	37	27	抬	擡	抬	抬	我們錯
出埃及記	37	27	杠	杠	槓	槓	我們錯
出埃及記	37	28	杠	杠	槓	槓	我們錯
出埃及記	38	5	杠	杠	槓	槓	我們錯
出埃及記	38	6	杠	杠	槓	槓	我們錯
出埃及記	38	7	抬	擡	抬	抬	我們錯
出埃及記	38	7	杠	杠	槓	槓	我們錯
出埃及記	38	9	捻	撚	捻	撚	他們錯
出埃及記	38	10	杆	桿	杆	杆	我們錯
出埃及記	38	11	杆	桿	杆	杆	我們錯
出埃及記	38	12	杆	桿	杆	杆	我們錯
出埃及記	38	16	捻	撚	捻	撚	他們錯
出埃及記	38	17	杆	桿	杆	杆	我們錯
出埃及記	38	18	捻	撚	捻	撚	他們錯
出埃及記	38	18	朱	朱	硃	朱	他們錯
出埃及記	38	19	杆	桿	杆	杆	我們錯
出埃及記	38	23	朱	朱	硃	朱	他們錯
出埃及記	38	28	杆	桿	杆	杆	我們錯
出埃及記	39	1	朱	朱	硃	朱	他們錯
出埃及記	39	1	致	致	緻	緻	我們錯
出埃及記	39	2	捻	撚	捻	撚	他們錯
出埃及記	39	2	朱	朱	硃	朱	他們錯
出埃及記	39	3	朱	朱	硃	朱	他們錯
出埃及記	39	5	捻	撚	捻	撚	他們錯
出埃及記	39	5	朱	朱	硃	朱	他們錯
出埃及記	39	8	捻	撚	捻	撚	他們錯
出埃及記	39	8	朱	朱	硃	朱	他們錯
出埃及記	39	17	链	鏈	鍊	鍊	我們錯
出埃及記	39	21	系	系	繫	繫	我們錯
出埃及記	39	24	捻	撚	捻	撚	他們錯
出埃及記	39	24	朱	朱	硃	朱	他們錯
出埃及記	39	28	捻	撚	捻	撚	他們錯
出埃及記	39	29	捻	撚	捻	撚	他們錯
出埃及記	39	29	朱	朱	硃	朱	他們錯
出埃及記	39	35	杠	杠	槓	槓	我們錯
出埃及記	39	39	杠	杠	槓	槓	我們錯
出埃及記	40	20	杠	杠	槓	槓	我們錯
出埃及記	40	21	抬	擡	抬	抬	我們錯
列王紀上	2	11	仑	崙	侖	崙	他們錯
列王紀上	2	17	念	念	唸	念	他們錯
列王紀上	2	21	念	念	唸	念	他們錯
列王紀上	2	22	念	念	唸	念	他們錯
列王紀上	2	26	抬	擡	抬	抬	我們錯
列王紀上	4	5	布	布	佈	布	他們錯
列王紀上	4	22	面	麵	麪	麵	他們錯
列王紀上	5	15	抬	擡	抬	抬	我們錯
列王紀上	6	9	梁	梁	樑	樑	我們錯
列王紀上	6	10	梁	梁	樑	樑	我們錯
列王紀上	6	21	链	鏈	鍊	鍊	我們錯
列王紀上	6	34	折	折	摺	摺	我們錯
列王紀上	8	3	抬	擡	抬	抬	我們錯
列王紀上	8	6	抬	擡	抬	抬	我們錯
列王紀上	8	7	抬	擡	抬	抬	我們錯
列王紀上	8	7	杠	杠	槓	槓	我們錯
列王紀上	8	8	杠	杠	槓	槓	我們錯
列王紀上	8	48	尽	盡	儘	盡	他們錯
列王紀上	9	7	舍	舍	捨	捨	我們錯
列王紀上	9	17	仑	崙	侖	崙	他們錯
列王紀上	10	12	杆	桿	杆	杆	我們錯
列王紀上	12	9	松	松	鬆	鬆	我們錯
列王紀上	14	6	凶	兇	凶	凶	我們錯
列王紀上	17	7	干	乾	幹	乾	他們錯
列王紀上	18	32	谷	穀	谷	穀	他們錯
列王紀上	18	37	回	回	迴	回	他們錯
列王紀上	20	38	蒙	蒙	矇	蒙	他們錯
列王紀上	20	41	蒙	蒙	矇	蒙	他們錯
列王紀上	21	8	托	托	託	託	我們錯
列王紀上	22	8	托	托	託	託	我們錯
列王紀上	22	11	抵	抵	牴	牴	我們錯
列王紀下	1	2	杆	桿	杆	杆	我們錯
列王紀下	2	8	卷	卷	捲	捲	我們錯
列王紀下	3	11	托	托	託	託	我們錯
列王紀下	3	26	冲	沖	衝	衝	我們錯
列王紀下	4	41	面	麵	面	麵	他們錯
列王紀下	5	23	抬	擡	抬	抬	我們錯
列王紀下	7	1	面	麵	麪	麵	他們錯
列王紀下	7	12	饥	饑	飢	飢	我們錯
列王紀下	7	16	面	麵	麪	麵	他們錯
列王紀下	7	18	面	麵	麪	麵	他們錯
列王紀下	8	8	托	托	託	託	我們錯
列王紀下	8	15	蒙	蒙	矇	蒙	他們錯
列王紀下	9	32	抬	擡	抬	抬	我們錯
列王紀下	11	6	闲	閑	閒	閒	我們錯
列王紀下	12	9	钻	鉆	鑽	鑽	我們錯
列王紀下	12	13	杯	杯	盃	杯	他們錯
列王紀下	17	9	了	了	瞭	瞭	我們錯
列王紀下	18	8	了	了	瞭	瞭	我們錯
列王紀下	19	24	干	乾	幹	乾	他們錯
列王紀下	20	7	愈	愈	癒	癒	我們錯
列王紀下	20	12	愈	愈	癒	癒	我們錯
列王紀下	23	3	尽	盡	儘	盡	他們錯
列王紀下	23	25	尽	盡	儘	盡	他們錯
列王紀下	23	35	征	征	徵	征	他們錯
列王紀下	24	15	后	後	后	后	我們錯
列王紀下	25	27	抬	擡	抬	抬	我們錯
利未記	1	16	脏	臟	髒	髒	我們錯
利未記	2	1	面	麵	麪	麵	他們錯
利未記	2	2	面	麵	麪	麵	他們錯
利未記	2	4	面	麵	麪	麵	他們錯
利未記	2	5	面	麵	麪	麵	他們錯
利未記	2	7	面	麵	麪	麵	他們錯
利未記	3	3	脏	臟	髒	臟	他們錯
利未記	3	9	脏	臟	髒	臟	他們錯
利未記	3	14	脏	臟	髒	臟	他們錯
利未記	4	8	脏	臟	髒	臟	他們錯
利未記	4	11	脏	臟	髒	臟	他們錯
利未記	5	11	面	麵	麪	麵	他們錯
利未記	5	13	面	麵	面	麵	他們錯
利未記	6	15	面	麵	麪	麵	他們錯
利未記	6	20	面	麵	麪	麵	他們錯
利未記	7	3	脏	臟	髒	臟	他們錯
利未記	7	12	面	麵	麪	麵	他們錯
利未記	7	19	挨	挨	捱	挨	他們錯
利未記	8	16	脏	臟	髒	臟	他們錯
利未記	8	25	脏	臟	髒	臟	他們錯
利未記	9	19	脏	臟	髒	臟	他們錯
利未記	10	4	抬	擡	抬	抬	我們錯
利未記	10	5	抬	擡	抬	抬	我們錯
利未記	10	6	发	髮	發	髮	他們錯
利未記	11	17	鸮	鸮	鴞	鴞	我們錯
利未記	11	17	鹚	鶿	鷀	鶿	他們錯
利未記	11	36	挨	挨	捱	挨	他們錯
利未記	13	37	愈	愈	癒	癒	我們錯
利未記	13	40	发	髮	發	髮	他們錯
利未記	13	45	发	髮	發	髮	他們錯
利未記	14	3	愈	愈	癒	癒	我們錯
利未記	14	4	朱	朱	硃	朱	他們錯
利未記	14	6	朱	朱	硃	朱	他們錯
利未記	14	10	面	麵	麪	麵	他們錯
利未記	14	21	面	麵	麪	麵	他們錯
利未記	14	43	刮	刮	颳	刮	他們錯
利未記	14	49	朱	朱	硃	朱	他們錯
利未記	14	51	朱	朱	硃	朱	他們錯
利未記	14	52	朱	朱	硃	朱	他們錯
利未記	15	2	症	癥	症	症	我們錯
利未記	15	3	症	癥	症	症	我們錯
利未記	15	6	症	癥	症	症	我們錯
利未記	15	7	症	癥	症	症	我們錯
利未記	15	8	症	癥	症	症	我們錯
利未記	15	9	症	癥	症	症	我們錯
利未記	15	11	症	癥	症	症	我們錯
利未記	15	12	症	癥	症	症	我們錯
利未記	15	13	愈	愈	癒	癒	我們錯
利未記	15	13	症	癥	症	症	我們錯
利未記	15	15	症	癥	症	症	我們錯
利未記	15	25	症	癥	症	症	我們錯
利未記	15	26	症	癥	症	症	我們錯
利未記	15	28	症	癥	症	症	我們錯
利未記	15	32	症	癥	症	症	我們錯
利未記	15	33	症	癥	症	症	我們錯
利未記	18	22	苟	茍	苟	苟	我們錯
利未記	19	13	雇	雇	僱	雇	他們錯
利未記	19	27	胡	胡	鬍	鬍	我們錯
利未記	19	27	须	須	鬚	鬚	我們錯
利未記	19	36	斗	鬥	斗	斗	我們錯
利未記	20	10	奸	奸	姦	姦	我們錯
利未記	20	13	苟	茍	苟	苟	我們錯
利未記	21	10	发	髮	發	髮	他們錯
利未記	22	4	症	癥	症	症	我們錯
利未記	22	10	雇	雇	僱	雇	他們錯
利未記	23	13	面	麵	麪	麵	他們錯
利未記	23	17	面	麵	麪	麵	他們錯
利未記	24	5	面	麵	面	麵	他們錯
利未記	24	5	面	麵	麪	麵	他們錯
利未記	24	10	闲	閑	閒	閒	我們錯
利未記	25	6	雇	雇	僱	雇	他們錯
利未記	25	40	雇	雇	僱	雇	他們錯
利未記	25	53	雇	雇	僱	雇	他們錯
創世記	2	14	里	裏	里	里	我們錯
創世記	3	19	糊	糊	餬	糊	他們錯
創世記	6	13	并	並	併	併	我們錯
創世記	6	17	泛	泛	氾	氾	我們錯
創世記	7	6	泛	泛	氾	氾	我們錯
創世記	7	10	泛	泛	氾	氾	我們錯
創世記	7	17	泛	泛	氾	氾	我們錯
創世記	8	7	干	乾	幹	乾	他們錯
創世記	8	13	干	乾	幹	乾	他們錯
創世記	8	14	干	乾	幹	乾	他們錯
創世記	9	15	泛	泛	氾	氾	我們錯
創世記	9	23	背	背	揹	背	他們錯
創世記	10	14	托	托	託	託	我們錯
創世記	13	18	仑	崙	侖	崙	他們錯
創世記	18	6	面	麵	麪	麵	他們錯
創世記	19	15	了	了	瞭	了	他們錯
創世記	20	16	合	合	閤	閤	我們錯
創世記	21	25	占	占	佔	佔	我們錯
創世記	23	2	仑	崙	侖	崙	他們錯
創世記	23	8	仑	崙	侖	崙	他們錯
創世記	23	10	仑	崙	侖	崙	他們錯
創世記	23	13	仑	崙	侖	崙	他們錯
創世記	23	14	仑	崙	侖	崙	他們錯
創世記	23	16	仑	崙	侖	崙	他們錯
創世記	23	17	仑	崙	侖	崙	他們錯
創世記	23	19	仑	崙	侖	崙	他們錯
創世記	24	18	托	托	託	托	他們錯
創世記	24	32	喂	餵	喂	餵	他們錯
創世記	25	9	仑	崙	侖	崙	他們錯
創世記	29	29	辟	辟	闢	辟	他們錯
創世記	30	3	辟	辟	闢	辟	他們錯
創世記	30	4	辟	辟	闢	辟	他們錯
創世記	30	5	辟	辟	闢	辟	他們錯
創世記	30	7	辟	辟	闢	辟	他們錯
創世記	30	16	雇	雇	僱	雇	他們錯
創世記	31	20	背	背	揹	背	他們錯
創世記	31	26	背	背	揹	背	他們錯
創世記	31	37	具	具	俱	具	他們錯
創世記	31	37	家	家	傢	家	他們錯
創世記	31	40	合	合	閤	合	他們錯
創世記	31	49	鉴	鑒	鑑	鑒	他們錯
創世記	32	16	闲	閑	閒	閒	我們錯
創世記	32	17	尽	盡	儘	儘	我們錯
創世記	32	26	了	了	瞭	了	他們錯
創世記	34	3	系	系	繫	繫	我們錯
創世記	35	19	恒	恒	恆	恆	我們錯
創世記	35	22	辟	辟	闢	辟	他們錯
創世記	35	25	辟	辟	闢	辟	他們錯
創世記	35	27	仑	崙	侖	崙	他們錯
創世記	36	27	干	干	幹	干	他們錯
創世記	36	27	辟	辟	闢	辟	他們錯
創世記	37	2	辟	辟	闢	辟	他們錯
創世記	37	3	彩	彩	綵	彩	他們錯
創世記	37	14	仑	崙	侖	崙	他們錯
創世記	37	23	彩	彩	綵	彩	他們錯
創世記	37	31	彩	彩	綵	彩	他們錯
創世記	38	20	托	托	託	託	我們錯
創世記	41	3	干	乾	幹	乾	他們錯
創世記	41	4	干	乾	幹	乾	他們錯
創世記	41	19	干	乾	幹	乾	他們錯
創世記	41	20	干	乾	幹	乾	他們錯
創世記	41	27	干	乾	幹	乾	他們錯
創世記	41	34	征	征	徵	征	他們錯
創世記	41	49	谷	穀	谷	穀	他們錯
創世記	44	2	杯	杯	盃	杯	他們錯
創世記	44	13	抬	擡	抬	抬	我們錯
創世記	45	17	抬	擡	抬	抬	我們錯
創世記	45	20	具	具	俱	具	他們錯
創世記	45	20	家	家	傢	家	他們錯
創世記	45	27	苏	蘇	甦	甦	我們錯
創世記	46	13	仑	崙	侖	崙	他們錯
創世記	46	16	芸	蕓	芸	芸	我們錯
創世記	46	25	辟	辟	闢	辟	他們錯
創世記	48	7	恒	恒	恆	恆	我們錯
創世記	49	4	欲	欲	慾	慾	我們錯
創世記	49	29	仑	崙	侖	崙	他們錯
創世記	49	30	仑	崙	侖	崙	他們錯
創世記	50	13	仑	崙	侖	崙	他們錯
士師記	1	10	仑	崙	侖	崙	他們錯
士師記	1	20	仑	崙	侖	崙	他們錯
士師記	2	6	占	占	佔	佔	我們錯
士師記	3	13	占	占	佔	佔	我們錯
士師記	3	15	托	托	託	託	我們錯
士師記	3	18	抬	擡	抬	抬	我們錯
士師記	3	19	回	回	迴	迴	我們錯
士師記	5	15	冲	沖	衝	衝	我們錯
士師記	5	15	志	誌	志	志	我們錯
士師記	5	21	冲	沖	衝	沖	他們錯
士師記	5	30	彩	彩	綵	彩	他們錯
士師記	6	19	面	麵	麪	麵	他們錯
士師記	6	21	挨	挨	捱	挨	他們錯
士師記	7	12	布	布	佈	布	他們錯
士師記	8	26	链	鏈	鍊	鍊	我們錯
士師記	8	28	抬	擡	抬	抬	我們錯
士師記	9	4	雇	雇	僱	雇	他們錯
士師記	9	9	飖	飖	颻	颻	我們錯
士師記	9	11	飖	飖	颻	颻	我們錯
士師記	9	13	飖	飖	颻	颻	我們錯
士師記	9	33	出	出	齣	出	他們錯
士師記	9	41	准	準	准	准	我們錯
士師記	11	13	占	占	佔	佔	我們錯
士師記	11	15	占	占	佔	佔	我們錯
士師記	11	17	准	準	准	准	我們錯
士師記	11	37	准	準	准	准	我們錯
士師記	12	8	恒	恒	恆	恆	我們錯
士師記	12	8	赞	讚	贊	讚	他們錯
士師記	12	10	恒	恒	恆	恆	我們錯
士師記	12	10	赞	讚	贊	讚	他們錯
士師記	12	11	赞	讚	贊	讚	他們錯
士師記	12	12	仑	崙	侖	崙	他們錯
士師記	13	5	出	出	齣	出	他們錯
士師記	15	4	狸	貍	狸	狸	我們錯
士師記	15	5	狸	貍	狸	狸	我們錯
士師記	15	9	布	布	佈	布	他們錯
士師記	16	3	仑	崙	侖	崙	他們錯
士師記	16	5	克	克	剋	剋	我們錯
士師記	16	6	克	克	剋	剋	我們錯
士師記	16	13	发	髮	發	髮	他們錯
士師記	16	14	发	髮	發	髮	他們錯
士師記	16	19	克	克	剋	剋	我們錯
士師記	16	26	托	托	託	托	他們錯
士師記	16	29	托	托	託	托	他們錯
士師記	16	31	抬	擡	抬	抬	我們錯
士師記	17	7	恒	恒	恆	恆	我們錯
士師記	17	8	恒	恒	恆	恆	我們錯
士師記	17	9	恒	恒	恆	恆	我們錯
士師記	19	1	恒	恒	恆	恆	我們錯
士師記	19	2	恒	恒	恆	恆	我們錯
士師記	19	18	恒	恒	恆	恆	我們錯
士師記	19	19	喂	餵	喂	餵	他們錯
士師記	19	21	喂	餵	喂	餵	他們錯
士師記	20	5	奸	奸	姦	姦	我們錯
士師記	20	9	签	簽	籤	籤	我們錯
士師記	20	33	冲	沖	衝	衝	我們錯
士師記	20	40	冲	沖	衝	沖	他們錯
尼希米記	2	8	准	準	准	准	我們錯
尼希米記	2	8	梁	梁	樑	樑	我們錯
尼希米記	2	10	并	並	併	並	他們錯
尼希米記	2	19	并	並	併	並	他們錯
尼希米記	3	3	梁	梁	樑	樑	我們錯
尼希米記	3	6	梁	梁	樑	樑	我們錯
尼希米記	4	3	狸	貍	狸	狸	我們錯
尼希米記	4	10	抬	擡	抬	抬	我們錯
尼希米記	4	17	抬	擡	抬	抬	我們錯
尼希米記	5	3	饥	饑	飢	飢	我們錯
尼希米記	5	16	恒	恒	恆	恆	我們錯
尼希米記	7	18	干	干	幹	干	他們錯
尼希米記	7	26	恒	恒	恆	恆	我們錯
尼希米記	7	69	只	隻	只	隻	他們錯
尼希米記	9	10	迹	跡	蹟	蹟	我們錯
尼希米記	9	15	饥	饑	飢	飢	我們錯
尼希米記	9	20	糊	糊	餬	糊	他們錯
尼希米記	10	34	签	簽	籤	籤	我們錯
尼希米記	10	37	面	麵	面	麵	他們錯
尼希米記	11	1	签	簽	籤	籤	我們錯
尼希米記	13	2	雇	雇	僱	雇	他們錯
尼希米記	13	3	闲	閑	閒	閒	我們錯
尼希米記	13	8	具	具	俱	具	他們錯
尼希米記	13	8	家	家	傢	家	他們錯
尼希米記	13	29	背	背	揹	背	他們錯
撒母耳記上	1	1	托	托	託	託	我們錯
撒母耳記上	1	17	准	準	准	准	我們錯
撒母耳記上	1	24	面	麵	麪	麵	他們錯
撒母耳記上	2	5	饥	饑	飢	飢	我們錯
撒母耳記上	2	8	抬	擡	抬	抬	我們錯
撒母耳記上	2	22	苟	茍	苟	苟	我們錯
撒母耳記上	4	3	抬	擡	抬	抬	我們錯
撒母耳記上	4	4	抬	擡	抬	抬	我們錯
撒母耳記上	5	1	抬	擡	抬	抬	我們錯
撒母耳記上	5	2	抬	擡	抬	抬	我們錯
撒母耳記上	6	3	愈	愈	癒	癒	我們錯
撒母耳記上	10	20	签	簽	籤	籤	我們錯
撒母耳記上	11	7	托	托	託	託	我們錯
撒母耳記上	12	2	发	髮	發	髮	他們錯
撒母耳記上	13	18	仑	崙	侖	崙	他們錯
撒母耳記上	14	2	仑	崙	侖	崙	他們錯
撒母耳記上	14	29	尝	嘗	嚐	嘗	他們錯
撒母耳記上	14	31	仑	崙	侖	崙	他們錯
撒母耳記上	14	41	签	簽	籤	籤	我們錯
撒母耳記上	14	42	签	簽	籤	籤	我們錯
撒母耳記上	14	43	尝	嘗	嚐	嘗	他們錯
撒母耳記上	15	30	抬	擡	抬	抬	我們錯
撒母耳記上	16	1	恒	恒	恆	恆	我們錯
撒母耳記上	16	4	恒	恒	恆	恆	我們錯
撒母耳記上	16	18	恒	恒	恆	恆	我們錯
撒母耳記上	17	6	背	背	揹	背	他們錯
撒母耳記上	17	12	恒	恒	恆	恆	我們錯
撒母耳記上	17	15	恒	恒	恆	恆	我們錯
撒母耳記上	17	20	托	托	託	託	我們錯
撒母耳記上	17	28	托	托	託	託	我們錯
撒母耳記上	17	58	恒	恒	恆	恆	我們錯
撒母耳記上	19	15	抬	擡	抬	抬	我們錯
撒母耳記上	20	6	恒	恒	恆	恆	我們錯
撒母耳記上	20	28	恒	恒	恆	恆	我們錯
撒母耳記上	21	2	托	托	託	託	我們錯
撒母耳記上	21	13	胡	胡	鬍	鬍	我們錯
撒母耳記上	21	13	胡	鬍	胡	胡	我們錯
撒母耳記上	24	15	鉴	鑒	鑑	鑒	他們錯
撒母耳記上	28	24	面	麵	面	麵	他們錯
撒母耳記上	30	3	毁	毀	燬	毀	他們錯
撒母耳記上	30	31	仑	崙	侖	崙	他們錯
撒母耳記下	1	24	朱	朱	硃	朱	他們錯
撒母耳記下	2	1	仑	崙	侖	崙	他們錯
撒母耳記下	2	3	仑	崙	侖	崙	他們錯
撒母耳記下	2	4	仑	崙	侖	崙	他們錯
撒母耳記下	2	11	仑	崙	侖	崙	他們錯
撒母耳記下	2	32	仑	崙	侖	崙	他們錯
撒母耳記下	2	32	恒	恒	恆	恆	我們錯
撒母耳記下	3	2	仑	崙	侖	崙	他們錯
撒母耳記下	3	5	仑	崙	侖	崙	他們錯
撒母耳記下	3	19	仑	崙	侖	崙	他們錯
撒母耳記下	3	20	仑	崙	侖	崙	他們錯
撒母耳記下	3	22	仑	崙	侖	崙	他們錯
撒母耳記下	3	27	仑	崙	侖	崙	他們錯
撒母耳記下	3	29	症	癥	症	症	我們錯
撒母耳記下	3	32	仑	崙	侖	崙	他們錯
撒母耳記下	4	1	仑	崙	侖	崙	他們錯
撒母耳記下	4	8	仑	崙	侖	崙	他們錯
